,id,url,name,national_park,rating,difficulty,length,elevation_gain,route_type,dog_status,kid_status,bike_status,attributes,state,time
230,231,https://www.alltrails.com/trail/us/utah/navajo-knobs-trail?ref=result-card,Navajo Knobs Trail,Capitol Reef National Park,4.5,hard,9.1,2139.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'views', 'rocky', 'scramble', 'no shade', 'fee', 'no dogs']",Utah,4.67
233,234,https://www.alltrails.com/trail/us/utah/lower-clear-creek-the-hobbit-hole--2?ref=result-card,Lower Clear Creek (The Hobbit Hole),Zion National Park,4.0,easy,1.3,147.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'river', 'views', 'wildlife', 'scramble', 'off trail', 'fee', 'no dogs']",Utah,0.53
238,239,https://www.alltrails.com/trail/us/utah/tunnel-arch-trail--4?ref=result-card,Tunnel Arch Trail,Arches National Park,4.5,easy,0.7,154.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'views', 'wildflowers', 'fee', 'no dogs']",Utah,0.38
245,246,https://www.alltrails.com/trail/us/utah/goosenecks-sunset-point?ref=result-card,Goosenecks & Sunset Point,Capitol Reef National Park,4.5,easy,2.5,544.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'walking', 'views', 'fee', 'no dogs']",Utah,1.37
249,250,https://www.alltrails.com/trail/us/utah/petroglyph-pools-to-slot-canyon?ref=result-card,Petroglyph Pools to Slot Canyon,Zion National Park,4.5,moderate,1.1,180.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'cave', 'river', 'views', 'waterfall', 'wildlife', 'scramble', 'historic site', 'fee', 'no dogs']",Utah,0.57
254,255,https://www.alltrails.com/trail/us/utah/rim-navajo-loop-and-peekaboo-loop-trail?ref=result-card,"Rim, Navajo Loop and Peekaboo Loop Trail",Bryce Canyon National Park,5.0,hard,6.9,1587.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'forest', 'river', 'views', 'wildlife', 'fee', 'no dogs']",Utah,3.77
262,263,https://www.alltrails.com/trail/us/utah/dark-angel?ref=result-card,Dark Angel,Arches National Park,4.5,moderate,4.7,721.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'views', 'fee', 'no dogs']",Utah,2.38
275,276,https://www.alltrails.com/trail/us/utah/bryce-canyon-np-scenic-drive?ref=result-card,Bryce Canyon NP Scenic Drive,Bryce Canyon National Park,4.5,easy,20.6,2375.0,Point to point,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'scenic driving', 'views', 'fee', 'no dogs']",Utah,0.0
276,277,https://www.alltrails.com/trail/us/utah/partition-arch-trail?ref=result-card,Partition Arch Trail,Arches National Park,4.5,easy,2.8,469.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Utah,1.45
281,282,https://www.alltrails.com/trail/us/utah/capitol-gorge-to-tanks-trail?ref=result-card,Capitol Gorge to Tanks Trail,Capitol Reef National Park,4.0,easy,2.4,577.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'river', 'views', 'wildlife', 'no shade', 'historic site', 'fee', 'no dogs']",Utah,1.35
289,290,https://www.alltrails.com/trail/us/utah/observation-point-via-stave-spring-trailhead?ref=result-card,Observation Point via Stave Spring Trailhead,Zion National Park,5.0,hard,11.2,2306.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'views', 'rocky', 'fee', 'no dogs']",Utah,6.07
290,291,https://www.alltrails.com/trail/us/utah/shelf-canyon?ref=result-card,Shelf Canyon Trail,Zion National Park,4.5,moderate,0.7,259.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'walking', 'rocky', 'scramble', 'off trail', 'fee', 'no dogs']",Utah,0.45
291,292,https://www.alltrails.com/trail/us/utah/court-of-the-patriarchs-viewpoint-trail?ref=result-card,Court of the Patriarchs Viewpoint Trail,Zion National Park,4.0,easy,0.2,29.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'walking', 'paved', 'views', 'wildflowers', 'fee', 'no dogs']",Utah,0.07
299,300,https://www.alltrails.com/trail/us/utah/cable-mountain-via-stave-spring-trailhead?ref=result-card,Cable Mountain via Stave Spring Trailhead,Zion National Park,4.5,moderate,7.7,1076.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'views', 'rocky', 'fee', 'no dogs']",Utah,3.1
303,304,https://www.alltrails.com/trail/us/utah/tower-arch-trail?ref=result-card,Tower Arch Trail,Arches National Park,4.5,moderate,2.4,600.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'views', 'wildflowers', 'wildlife', 'rocky', 'scramble', 'fee', 'no dogs']",Utah,1.37
304,305,https://www.alltrails.com/trail/us/utah/murphy-point-trail?ref=result-card,Murphy Point Trail,Canyonlands National Park,4.5,easy,3.4,147.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'running', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Utah,1.47
305,306,https://www.alltrails.com/trail/us/utah/west-rim-trail-top-down?ref=result-card,West Rim Trail (Top-Down),Zion National Park,5.0,hard,15.0,1748.0,Point to point,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'views', 'rocky', 'scramble', 'fee', 'no dogs']",Utah,7.02
307,308,https://www.alltrails.com/trail/us/utah/sulphur-creek-route?ref=result-card,Sulphur Creek Route,Capitol Reef National Park,5.0,moderate,5.8,410.0,Point to point,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'nature trips', 'walking', 'bird watching', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'muddy', 'rocky', 'scramble', 'fee', 'no dogs']",Utah,2.32
311,312,https://www.alltrails.com/trail/us/utah/rim-overlook-trail?ref=result-card,Rim Overlook Trail,Capitol Reef National Park,4.5,hard,4.1,1053.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'river', 'views', 'wildflowers', 'rocky', 'no shade', 'fee', 'no dogs']",Utah,2.37
312,313,https://www.alltrails.com/trail/us/utah/wildcat-canyon-trail-the-subway-trail-and-the-left-fork-of-north-creek?ref=result-card,"Wildcat Canyon Trail, The Subway Trail and The Left Fork of North Creek",Zion National Park,4.5,hard,7.8,626.0,Point to point,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'rock climbing', 'views', 'rocky', 'scramble', 'off trail', 'fee', 'no dogs']",Utah,3.13
318,319,https://www.alltrails.com/trail/us/utah/bryce-transverse-using-park-shuttle?ref=result-card,Bryce Transverse using Park Shuttle,Bryce Canyon National Park,5.0,moderate,5.5,1151.0,Point to point,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'forest', 'views', 'wildlife', 'fee', 'no dogs']",Utah,0.05
332,333,https://www.alltrails.com/trail/us/utah/skyline-arch-arches-national-park?ref=result-card,Skyline Arch Trail,Arches National Park,4.0,easy,0.5,42.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'views', 'wildflowers', 'wildlife', 'rocky', 'no shade', 'fee', 'no dogs']",Utah,0.23
335,336,https://www.alltrails.com/trail/us/utah/taylor-creek-south-fork?ref=result-card,South Fork Taylor Creek Trail,Zion National Park,4.5,moderate,2.6,1036.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Utah,1.75
339,340,https://www.alltrails.com/trail/us/utah/east-mesa-trail-to-blew-by-peak?ref=result-card,East Mesa Trail to Blew by Peak,Zion National Park,4.5,easy,4.2,288.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'views', 'fee', 'no dogs']",Utah,1.88
345,346,https://www.alltrails.com/trail/us/utah/capitol-gorge-trail--2?ref=result-card,Capitol Gorge Trail,Capitol Reef National Park,4.0,moderate,4.5,374.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'camping', 'hiking', 'nature trips', 'walking', 'bird watching', 'views', 'historic site', 'fee', 'no dogs']",Utah,2.07
346,347,https://www.alltrails.com/trail/us/utah/sand-dune-arch-and-broken-arch?ref=result-card,Sand Dune Arch and Broken Arch,Arches National Park,4.5,easy,1.4,183.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'running', 'views', 'scramble', 'fee', 'no dogs']",Utah,0.57
362,363,https://www.alltrails.com/trail/us/california/panorama-trail--7?ref=result-card,Panorama Trail,Yosemite National Park,5.0,hard,9.0,2257.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'running', 'river', 'views', 'waterfall', 'wildlife', 'fee', 'no dogs']",California,5.15
363,364,https://www.alltrails.com/trail/us/utah/capitol-reef-scenic-drive--2?ref=result-card,Capitol Reef Scenic Drive,Capitol Reef National Park,4.5,easy,7.9,708.0,Point to point,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'scenic driving', 'paved', 'views', 'fee', 'no dogs']",Utah,0.0
366,367,https://www.alltrails.com/trail/us/utah/sand-bench-trail--2?ref=result-card,Sand Bench Trail,Zion National Park,4.0,moderate,3.8,721.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'views', 'wildflowers', 'wildlife', 'rocky', 'no shade', 'fee', 'no dogs']",Utah,2.02
368,369,https://www.alltrails.com/trail/us/utah/whale-rock?ref=result-card,Whale Rock Trail,Canyonlands National Park,4.5,easy,0.8,131.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'views', 'rocky', 'scramble', 'no shade', 'fee', 'no dogs']",Utah,0.42
371,372,https://www.alltrails.com/trail/us/utah/sulphur-creek-waterfall-hike?ref=result-card,Sulphur Creek Waterfall Hike,Capitol Reef National Park,4.5,easy,1.8,180.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'views', 'waterfall', 'wildflowers', 'fee', 'no dogs']",Utah,0.85
385,386,https://www.alltrails.com/trail/us/utah/shafer-canyon-overlook?ref=result-card,Shafer Canyon Overlook,Canyonlands National Park,4.5,easy,0.3,45.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'views', 'no shade', 'fee', 'no dogs']",Utah,0.15
387,388,https://www.alltrails.com/trail/us/utah/slickrock-foot-trail?ref=result-card,Slickrock Foot Trail,Canyonlands National Park,4.5,moderate,2.4,137.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'running', 'forest', 'views', 'wildflowers', 'wildlife', 'rocky', 'fee', 'no dogs']",Utah,1.07
389,390,https://www.alltrails.com/trail/us/utah/deertrap-mountain-via-stave-spring-trailhead?ref=result-card,Deertrap Mountain via Stave Spring Trailhead,Zion National Park,4.5,hard,10.6,1322.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'views', 'rocky', 'fee', 'no dogs']",Utah,5.17
393,394,https://www.alltrails.com/trail/us/utah/white-rim-ohv-trail?ref=result-card,White Rim OHV Trail,Canyonlands National Park,5.0,hard,98.8,8251.0,Loop,No Dogs Allowed,Not Kid Friendly,Ideal For Biking,"['hiking', 'mountain biking', 'nature trips', 'ohv/off-road driving', 'views', 'wildflowers', 'no shade', 'fee', 'no dogs']",Utah,24.0
394,395,https://www.alltrails.com/trail/us/utah/kolob-canyon-scenic-drive?ref=result-card,Kolob Canyon Scenic Drive,Zion National Park,4.5,easy,10.4,1456.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'nature trips', 'scenic driving', 'forest', 'views', 'wildflowers', 'fee', 'no dogs']",Utah,0.0
397,398,https://www.alltrails.com/trail/us/utah/zion-canyon-road-bike-route?ref=result-card,Zion Canyon Road Bike Route,Zion National Park,5.0,easy,17.2,1174.0,Out & back,No Dogs Allowed,Not Kid Friendly,Ideal For Biking,"['road biking', 'paved', 'views', 'fee', 'no dogs']",Utah,0.0
402,403,https://www.alltrails.com/trail/us/utah/joint-trail?ref=result-card,Joint Trail,Canyonlands National Park,5.0,moderate,4.0,567.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'walking', 'views', 'historic site', 'fee', 'no dogs']",Utah,1.6
405,406,https://www.alltrails.com/trail/us/utah/inspiration-to-queens-garden-using-park-shuttle?ref=result-card,Inspiration to Queens Garden using Park Shuttle,Bryce Canyon National Park,5.0,moderate,2.8,587.0,Point to point,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'views', 'wildlife', 'no shade', 'fee', 'no dogs']",Utah,1.52
406,407,https://www.alltrails.com/trail/us/utah/sand-dune-arch-to-broken-arch-loop?ref=result-card,Sand Dune Arch to Broken Arch Loop,Arches National Park,4.5,moderate,2.8,321.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'camping', 'hiking', 'nature trips', 'walking', 'views', 'wildflowers', 'fee', 'no dogs']",Utah,1.12
409,410,https://www.alltrails.com/trail/us/utah/horseshoe-canyon?ref=result-card,Horseshoe Canyon Trail,Canyonlands National Park,4.5,hard,7.0,1387.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'wildflowers', 'wildlife', 'historic site', 'fee', 'no dogs']",Utah,3.75
418,419,https://www.alltrails.com/trail/us/utah/rainbow-and-yovimpa-points-plus-bristlecone-loop?ref=result-card,"Rainbow Point, Yovimpa Point, and Bristlecone Loop",Bryce Canyon National Park,4.5,easy,1.3,121.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'forest', 'views', 'wildlife', 'fee', 'no dogs']",Utah,0.6
423,424,https://www.alltrails.com/trail/us/utah/gooseberry-trail?ref=result-card,Gooseberry Trail,Canyonlands National Park,4.5,hard,4.2,1548.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'views', 'rocky', 'scramble', 'no shade', 'fee', 'no dogs']",Utah,2.73
429,430,https://www.alltrails.com/trail/us/utah/fiery-furnace-viewpoint?ref=result-card,Fiery Furnace Viewpoint,Arches National Park,4.0,easy,0.2,13.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'walking', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Utah,0.08
432,433,https://www.alltrails.com/trail/us/utah/lost-canyon?ref=result-card,Lost Canyon,Canyonlands National Park,4.5,moderate,8.2,784.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['camping', 'hiking', 'fee', 'no dogs']",Utah,3.83
454,455,https://www.alltrails.com/trail/us/utah/capitol-reef-petroglyph-trail?ref=result-card,Capitol Reef Petroglyph Trail,Capitol Reef National Park,4.5,easy,0.3,49.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['wheelchair friendly', 'kid friendly', 'stroller friendly', 'nature trips', 'walking', 'paved', 'views', 'historic site', 'fee', 'no dogs']",Utah,0.12
458,459,https://www.alltrails.com/trail/us/utah/golden-throne-trail?ref=result-card,Golden Throne Trail,Capitol Reef National Park,4.5,moderate,3.5,777.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'bird watching', 'views', 'wildflowers', 'wildlife', 'no shade', 'fee', 'no dogs']",Utah,1.93
463,464,https://www.alltrails.com/trail/us/utah/private-arch-trail?ref=result-card,Private Arch Trail,Arches National Park,4.5,moderate,5.3,846.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'views', 'fee', 'no dogs']",Utah,2.7
470,471,https://www.alltrails.com/trail/us/utah/cathedral-valley?ref=result-card,Cathedral Valley OHV Loop Tour,Capitol Reef National Park,4.5,moderate,71.2,4452.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['ohv/off-road driving', 'river', 'views', 'wildflowers', 'wildlife', 'muddy', 'fee', 'no dogs']",Utah,0.0
471,472,https://www.alltrails.com/trail/us/utah/squawflat-loop?ref=result-card,Squaw Flat and Big Spring Canyon Loop,Canyonlands National Park,4.5,moderate,6.6,656.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'hiking', 'nature trips', 'river', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Utah,3.1
472,473,https://www.alltrails.com/trail/us/utah/neck-spring?ref=result-card,Neck Spring Trail,Canyonlands National Park,4.5,moderate,5.3,666.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'running', 'forest', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Utah,2.58
473,474,https://www.alltrails.com/trail/us/utah/paria-view?ref=result-card,Paria View,Bryce Canyon National Park,4.5,easy,0.3,16.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['wheelchair friendly', 'kid friendly', 'stroller friendly', 'nature trips', 'walking', 'forest', 'paved', 'views', 'wildlife', 'fee', 'no dogs']",Utah,0.12
476,477,https://www.alltrails.com/trail/us/utah/tapestry-arch?ref=result-card,Tapestry Arch,Arches National Park,4.5,easy,0.6,42.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'walking', 'fee', 'no dogs']",Utah,0.27
485,486,https://www.alltrails.com/trail/us/utah/east-temple-saddle-trail?ref=result-card,East Temple Saddle Trail,Zion National Park,4.5,hard,3.1,1302.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Utah,2.13
486,487,https://www.alltrails.com/trail/us/utah/cave-spring-trail?ref=result-card,Cave Spring Trail,Canyonlands National Park,4.5,moderate,0.6,39.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'views', 'fee', 'no dogs']",Utah,0.27
487,488,https://www.alltrails.com/trail/us/utah/buck-canyon-overlook?ref=result-card,Buck Canyon Overlook,Canyonlands National Park,4.5,easy,0.1,0.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'nature trips', 'walking', 'views', 'wildlife', 'no shade', 'fee', 'no dogs']",Utah,0.03
491,492,https://www.alltrails.com/trail/us/utah/confluence-overlook-trail?ref=result-card,Confluence Overlook Trail,Canyonlands National Park,4.5,moderate,10.0,1371.0,Out & back,No Dogs Allowed,Not Kid Friendly,Ideal For Biking,"['hiking', 'mountain biking', 'nature trips', 'river', 'views', 'wildflowers', 'wildlife', 'scramble', 'no shade', 'fee', 'no dogs']",Utah,4.02
501,502,https://www.alltrails.com/trail/us/utah/hop-valley-and-kolob-arch-trail?ref=result-card,Hop Valley and Kolob Arch Trail,Zion National Park,4.0,moderate,14.3,1791.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['camping', 'hiking', 'nature trips', 'walking', 'running', 'river', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Utah,6.97
